MCID;SvcDate;SvcTime;Mileage;Category;Notes
"ALV34";2014-02-19;1.50;;Event;"Avian Renesting"
"ALV34A";2014-02-19;1.50;;Event;"Avian Renesting"
"MCD21";2014-02-19;1.50;;Event;"Avian Renesting"
"MUE17";2014-02-19;1.50;;Event;"Avian Renesting"
"NEL23";2014-02-19;1.50;;Event;"Avian Renesting"
"LAR33";2014-02-19;1.50;;Event;"Avian Renesting"
"PLE17";2014-02-19;1.50;;Event;"Avian Renesting"
"GRA10";2014-02-19;1.50;;Event;"Avian Renesting"
"GAR11";2014-02-22;1.50;;Event;"Avian Renesting"
"GAR11A";2014-02-22;1.50;;Event;"Avian Renesting"
"DIL82";2014-02-22;1.50;;Event;"Avian Renesting"
"WRI15";2014-02-22;1.50;;Event;"Avian Renesting"
"FLA56A";2014-02-22;1.50;;Event;"Avian Renesting"
"FLA56B";2014-02-22;1.50;;Event;"Avian Renesting"
"BRI25A";2014-02-22;1.50;;Event;"Avian Renesting"
"COR77";2014-02-18;2.00;;Event;"Common Presentations"
"THA32";2014-02-18;2.00;;Event;"Common Presentations"
"REN13";2014-02-18;2.00;;Event;"Common Presentations"
"ALV34";2014-02-18;2.00;;Event;"Common Presentations"
"ALV34A";2014-02-18;2.00;;Event;"Common Presentations"
"NEL23";2014-02-18;2.00;;Event;"Common Presentations"
"BAK56";2014-02-18;2.00;;Event;"Common Presentations"
"MUE17";2014-02-18;2.00;;Event;"Common Presentations"
"WOL37";2014-02-18;2.00;;Event;"Common Presentations"
"LAM99";2014-02-18;2.00;;Event;"Common Presentations"
"SUL11";2014-02-18;2.00;;Event;"Common Presentations"
"DUM40";2014-02-18;2.00;;Event;"Common Presentations"
"DIL82";2014-02-18;2.00;;Event;"Common Presentations"
"BOL35";2014-02-15;1.50;;Event;"Common Presentations"
"GON27";2014-02-15;1.50;;Event;"Common Presentations"
"LAR33";2014-02-15;1.50;;Event;"Common Presentations"
"HAR21A";2014-02-15;1.50;;Event;"Common Presentations"
"CAI58";2014-02-15;1.50;;Event;"Common Presentations"
"WRI15";2014-02-15;1.50;;Event;"Common Presentations"
"MCC15A";2014-02-15;1.50;;Event;"Common Presentations"
"GRA10";2014-02-15;1.50;;Event;"Common Presentations"
"MEY56";2014-02-15;1.50;;Event;"Common Presentations"
"CHR16A";2014-02-15;1.50;;Event;"Common Presentations"
"PLE17";2014-02-15;1.50;;Event;"Common Presentations"
"GAR11";2014-02-15;1.50;;Event;"Common Presentations"
"GAR11A";2014-02-15;1.50;;Event;"Common Presentations"
"STO86";2014-02-15;1.50;;Event;"Common Presentations"
"SIN60";2014-02-15;1.50;;Event;"Common Presentations"
"JAC64";2014-02-22;1.50;;Event;"Avian Renesting"
"JAC64";2014-02-15;1.50;;Event;"Common Presentations"
"HAR21A";2014-02-15;1.50;;Event;"Weights & Measures"
"MCC15A";2014-02-15;1.50;;Event;"Weights & Measures"
"GRA10";2014-02-15;1.50;;Event;"Weights & Measures"
"LOW16";2014-02-15;1.50;;Event;"Weights & Measures"
"LAM99";2014-02-15;1.50;;Event;"Weights & Measures"
